workclass_id,education_id,occupation_id,sex_id,race_id,age,capital-gain,capital-loss,hours-per-week,income-per-year
6,9,0,1,4,39,2174,0,40,<=50K
5,9,3,1,4,50,0,0,13,<=50K
3,11,5,1,4,38,0,0,40,<=50K
3,1,5,1,2,53,0,0,40,<=50K
3,9,9,0,2,28,0,0,40,<=50K
3,12,3,0,4,37,0,0,40,<=50K
3,6,7,0,2,49,0,0,16,<=50K
5,11,3,1,4,52,0,0,45,>50K
3,12,9,0,4,31,14084,0,50,>50K
3,9,3,1,4,42,5178,0,40,>50K
3,15,3,1,2,37,0,0,80,>50K
6,9,9,1,1,30,0,0,40,>50K
3,9,0,0,4,23,0,0,30,<=50K
3,7,11,1,2,32,0,0,50,<=50K
3,8,2,1,1,40,0,0,40,>50K
3,5,13,1,0,34,0,0,45,<=50K
5,11,4,1,4,25,0,0,35,<=50K
3,11,6,1,4,32,0,0,40,<=50K
3,1,11,1,4,38,0,0,50,<=50K
5,12,3,0,4,43,0,0,45,>50K
3,10,9,1,4,40,0,0,60,>50K
3,11,7,0,2,54,0,0,20,<=50K
0,6,4,1,2,35,0,0,40,<=50K
3,1,13,1,4,43,0,2042,40,<=50K
3,11,12,0,4,59,0,0,40,<=50K
1,9,12,1,4,56,0,0,40,>50K
3,11,2,1,4,19,0,0,40,<=50K
,15,,1,1,54,0,0,60,>50K
3,11,3,1,4,39,0,0,80,<=50K
3,11,2,1,4,49,0,0,40,<=50K
1,7,10,1,4,23,0,0,52,<=50K
3,15,11,1,2,20,0,0,44,<=50K
3,9,3,1,4,45,0,1408,40,<=50K
0,15,0,1,4,30,0,0,40,<=50K
6,15,7,1,2,22,0,0,15,<=50K
3,1,6,1,4,48,0,0,40,<=50K
3,15,6,1,4,21,0,0,40,<=50K
3,11,0,0,4,19,0,0,25,<=50K
3,15,11,1,4,31,0,0,38,>50K
5,7,9,1,4,48,0,0,40,<=50K
3,6,6,1,4,31,0,0,43,<=50K
5,9,9,1,4,53,0,0,40,<=50K
3,9,12,1,4,24,0,0,50,<=50K
3,11,0,0,4,49,0,0,40,<=50K
3,11,5,1,4,25,0,0,35,<=50K
0,9,9,1,2,57,0,0,40,>50K
3,11,6,1,4,53,0,0,38,<=50K
3,12,3,0,4,44,0,0,40,<=50K
6,8,2,1,4,41,0,0,40,<=50K
3,8,9,1,4,29,0,0,43,<=50K
3,15,3,0,3,25,0,0,40,<=50K
3,11,7,0,4,18,0,0,30,<=50K
3,14,9,0,4,47,0,1902,60,>50K
0,9,3,1,4,50,0,0,55,>50K
4,11,3,1,4,47,0,0,60,<=50K
3,15,12,1,4,43,0,0,40,>50K
3,4,6,1,4,46,0,0,40,<=50K
3,8,7,1,4,35,0,0,40,<=50K
3,11,0,1,4,41,0,0,48,<=50K
3,11,6,1,4,30,5013,0,40,<=50K
3,9,11,1,4,30,2407,0,40,<=50K
,5,,1,4,32,0,0,40,<=50K
3,11,13,1,4,48,0,0,40,<=50K
3,10,9,1,4,42,0,0,45,>50K
3,15,12,1,4,29,0,0,58,<=50K
3,11,2,1,4,36,0,0,40,<=50K
3,15,0,0,4,28,0,0,40,<=50K
3,11,0,0,4,53,0,0,40,>50K
4,15,3,1,4,49,0,0,50,>50K
,15,,1,4,25,0,0,40,<=50K
3,15,9,1,4,19,0,0,32,<=50K
3,9,11,0,2,31,0,0,40,<=50K
5,9,11,1,4,29,0,0,70,>50K
3,15,6,1,4,23,0,0,40,<=50K
3,15,9,1,4,79,0,0,20,<=50K
3,11,7,1,4,27,0,0,40,<=50K
3,7,0,1,4,40,0,0,40,<=50K
,0,,1,4,67,0,0,2,<=50K
3,1,7,0,4,18,0,0,22,<=50K
1,5,4,1,4,31,0,0,40,<=50K
3,11,11,1,4,18,0,0,30,<=50K
3,9,7,1,4,52,0,0,40,<=50K
3,11,7,0,4,46,0,0,40,<=50K
3,11,11,1,4,59,0,0,48,<=50K
3,11,2,0,4,44,14344,0,40,>50K
3,11,11,0,4,53,0,0,35,<=50K
1,11,10,1,4,49,0,0,40,>50K
3,12,9,1,4,33,0,0,50,<=50K
3,6,11,1,4,30,0,0,40,<=50K
0,10,9,0,4,43,0,0,50,>50K
3,8,9,1,4,57,0,0,40,<=50K
