tpep_pickup_datetime,tpep_dropoff_datetime,trip_distance,fare_amount,pickup_zip,dropoff_zip
2016-02-13 21:47:53,2016-02-13 21:57:15,1.4,8.0,10103,10110
2016-02-13 18:29:09,2016-02-13 18:37:23,1.31,7.5,10023,10023
2016-02-06 19:40:58,2016-02-06 19:52:32,1.8,9.5,10001,10018
2016-02-12 19:06:43,2016-02-12 19:20:54,2.3,11.5,10044,10111
2016-02-23 10:27:56,2016-02-23 10:58:33,2.6,18.5,10199,10022
2016-02-13 00:41:43,2016-02-13 00:46:52,1.4,6.5,10023,10069
2016-02-18 23:49:53,2016-02-19 00:12:53,10.4,31.0,11371,10003
2016-02-18 20:21:45,2016-02-18 20:38:23,10.15,28.5,11371,11201
2016-02-03 10:47:50,2016-02-03 11:07:06,3.27,15.0,10014,10023
2016-02-19 01:26:39,2016-02-19 01:40:01,4.42,15.0,10003,11222
2016-02-12 00:19:38,2016-02-12 00:34:59,3.5,13.5,10012,10018
2016-02-18 07:32:18,2016-02-18 07:37:16,1.1,6.0,10009,10110
2016-02-24 13:58:21,2016-02-24 14:13:02,1.1,10.0,10119,10017
2016-02-29 11:36:24,2016-02-29 11:47:16,0.93,8.0,10065,10167
2016-02-12 15:55:09,2016-02-12 16:05:16,1.63,9.0,10021,10023
2016-02-11 18:39:25,2016-02-11 18:44:26,0.71,5.5,10021,10065
2016-02-20 22:09:04,2016-02-20 22:22:43,2.0,10.5,10001,10003
2016-02-26 16:31:44,2016-02-26 16:46:00,1.1,10.0,10153,10110
2016-02-26 09:24:38,2016-02-26 09:33:49,1.3,8.5,10025,10029
2016-02-08 23:16:27,2016-02-08 23:32:43,3.4,14.0,10018,10028
2016-02-06 23:25:43,2016-02-06 23:31:08,1.1,6.0,11237,11237
2016-02-27 18:01:07,2016-02-27 18:10:23,2.83,11.0,10002,11206
2016-02-16 12:14:48,2016-02-16 12:19:14,0.6,5.0,10044,10021
2016-02-10 08:54:25,2016-02-10 09:17:43,3.5,17.5,10013,10018
2016-02-17 15:54:42,2016-02-17 16:04:41,0.9,7.5,10021,10021
2016-02-19 11:09:05,2016-02-19 11:25:12,4.0,15.5,10022,10002
2016-02-12 22:41:45,2016-02-12 22:52:11,0.9,8.0,10171,10017
2016-02-26 23:12:44,2016-02-26 23:22:22,1.7,8.5,10016,10009
2016-02-24 23:21:05,2016-02-24 23:31:41,2.2,9.5,10103,10044
2016-02-03 05:16:34,2016-02-03 05:35:48,15.7,52.0,10009,11422
2016-02-18 18:29:19,2016-02-18 18:37:43,1.1,7.5,10011,10011
2016-02-26 02:15:57,2016-02-26 02:19:33,1.03,5.0,10171,10065
2016-02-28 15:16:44,2016-02-28 15:35:32,4.5,16.5,10282,10069
2016-02-02 17:11:50,2016-02-02 17:26:47,1.49,10.5,10018,10001
2016-02-02 22:35:45,2016-02-02 22:42:03,1.35,6.5,10023,10021
2016-02-18 10:14:15,2016-02-18 10:21:53,1.28,7.5,10110,10003
2016-02-14 16:23:31,2016-02-14 16:37:15,2.38,11.5,10012,10110
2016-02-15 01:45:11,2016-02-15 01:48:40,0.6,4.5,10153,10065
2016-02-14 17:44:16,2016-02-14 17:47:42,0.59,4.5,10023,10023
2016-02-04 00:22:49,2016-02-04 00:38:19,4.1,15.0,10019,11104
2016-02-19 07:47:10,2016-02-19 07:57:32,1.06,8.0,10017,10171
